"dataResourceUid","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","recordedByID","identifiedByID","videos","species","relationshipAccordingTo","subfamily","resourceRelationshipID","eventType","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","superfamily","identifierRole","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","degreeOfEstablishment","relatedResourceID","images","dcterms:type"
"dr1132","","2009-03-27T08:28:52+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","3461","1365","6405","","Queensland Historical Fauna Database","Moss (1998)","Department of Environment and Science","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:3658752","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","539701","","","1998-01-24T00:00:00Z","","24","24","1998","1","24","","","","","","","","","531455","","","","","","","Australia","AU","Queensland","","","Stanley River off Peachester Rd (Rd Reserve nr 1st bridge)","","","","","","","","","","","","-26.833129","152.869119","EPSG:4326","450.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","85eefd10-cd5c-41fe-8ab7-1716494efdfb","","","","","","","","","","",""
"dr1132","","2021-03-18T08:47:25+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","1964","8000","","Rod Hobson's wildlife data","Rod Hobson's incidental records","Queensland Parks and Wildlife Service","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:7030546","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2009970","","","2020-12-05T00:00:00Z","","340","340","2020","12","5","","","","","","","","","1740789","","","","","","","Australia","AU","Queensland","","","499 Maleny - Stanley River Road, Wootha SEQ","","","","","","","","","","","","-26.783058","152.813182","EPSG:4326","200.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","f75c8344-a239-4159-8139-a083c563fe29","","","","","","","","","","",""
"dr1132","","2012-06-04T15:33:01+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","17","244","","NatureSearch 1","NatureSearch Records","Queensland Parks and Wildlife Service","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:1064275","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1992-12-10T00:00:00Z","","345","345","1992","12","10","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","No locality provided, Caboolture","","","","","","","","","","","","-26.85674","152.826064","EPSG:4326","1300.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","d974b95e-643f-42d3-a5dc-3a252d8ab4b9","","","","","","","","","","",""
"dr1132","","2009-03-27T08:32:33+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","1562","4119","","Ian Gynthers fauna data","Ian Gynthers incidental records","Queensland Parks and Wildlife Service","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:4767809","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","564318","","","2002-02-12T00:00:00Z","","43","43","2002","2","12","","","","","","","","","550480","","","","","","","Australia","AU","Queensland","","","Northern tributary of Stanley River, upstream from Scotts Road, Booroobin, SEQ.","","","","","","","","","","","","-26.812005","152.803009","EPSG:4326","100.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","217d28e3-5c93-4da1-8950-d0f103f21f7a","","","","","","","","","","",""
"dr1132","","2012-06-04T15:33:01+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","17","244","","NatureSearch 1","NatureSearch Records","Queensland Parks and Wildlife Service","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:1064795","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1993-03-21T00:00:00Z","","80","80","1993","3","21","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","Mt Mee State Forest following Neurum Creek","","","","","","","","","","","","-27.040074","152.692735","EPSG:4326","1300.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","0fae35cf-ab2d-4ffe-ab4f-ce0c1417a5a3","","","","","","","","","","",""
"dr1132","","2009-09-10T15:08:11+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","799","448","","Southeast Region Fauna Database","SE_FAUNA","Queensland Parks and Wildlife Service","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:697520","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1995-01-10T00:00:00Z","","10","10","1995","1","10","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","LOTS 93/94 RP 89974 VOL 3218 FOL 192; COOLUM BEACH","","","","","","","","","","","","-26.539016","153.092752","EPSG:4326","10.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","e3265e05-b1c0-4211-a173-8e904898c488","","","","","","","","","","",""
"dr1132","","2012-06-04T15:32:10+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","17","244","","NatureSearch 1","NatureSearch Records","Queensland Parks and Wildlife Service","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:923780","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1993-10-01T00:00:00Z","","274","283","1993","10","","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","No locality provided, Maroochy","","","","","","","","","","","","-26.590073","152.992726","EPSG:4326","1300.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","9e38451a-f858-4871-b319-ae4e635b6229","","","","","","","","","","",""
"dr1132","","2012-06-04T15:31:41+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","17","244","","NatureSearch 1","NatureSearch Records","Queensland Parks and Wildlife Service","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:854395","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1993-04-24T00:00:00Z","","114","114","1993","4","24","","","","","","","","","","","","","","","","Australia","AU","Queensland","","","No locality provided, Esk","","","","","","","","","","","","-26.890077","152.29274","EPSG:4326","1300.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unconfirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","afa55a7b-c43e-4e12-bbe8-dd0ab88517b4","","","","","","","","","","",""
"dr1132","","2009-03-27T08:32:33+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","1562","4119","","Ian Gynthers fauna data","Ian Gynthers incidental records","Queensland Parks and Wildlife Service","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:4767823","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","564576","","","2002-11-20T00:00:00Z","","324","324","2002","11","20","","","","","","","","","550583","","","","","","","Australia","AU","Queensland","","","Branch Creek Road at Branch Creek, Bellthorpe Logging Area, Bellthorpe Forest Reserve 2, SEQ.","","","","","","","","","","","","-26.857949","152.720511","EPSG:4326","100.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","a51694a8-6a5f-46b3-a4a1-9a79b73faf91","","","","","","","","","","",""
"dr1132","","2016-01-28T09:57:03+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","199","3534","13138","","Jesse Rowlands fauna survey and monitoring datasets","Jesse Rowland miscellaneous fauna data","Private Individual","HUMAN_OBSERVATION","","","","urn:catalog:QGov:DES:WildNet:6097363","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1351089","","","2012-09-22T00:00:00Z","","266","266","2012","9","22","","","","","","","","","1083965","","","","","","","Australia","AU","Queensland","","","79 Birdsong Drive, Mooloolah Valley, SEQ.","","","","","","","","","","","","-26.747376","152.959602","EPSG:4326","200.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","2014","","","","","","","https://biodiversity.org.au/afd/taxa/d252e766-24b9-49ca-afa5-0e7ee0ca93bd","Ornithoptera richmondia","Ornithoptera richmondia","","","","","","","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Ornithoptera","","richmondia","","species","","(Gray, 1853)","Richmond Birdwing Butterfly","","","","","","","","","Ornithoptera richmondia","","","","","","","","","","","","","","","","","d5c065fa-39b2-4e83-8049-7e5064f9b2ef","","","","","","","","","","",""
