"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr16457","Butterflies Australia","10.15468/7kagfx","Records provided by Butterflies Australia, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr16457","","Sensitive species records are not included at this time.","","56"
"dp34","Department of Planning, Industry and Environment representing the State of New South Wales","","Records provided by Department of Planning, Industry and Environment representing the State of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp34","","","","118"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","26"
"co41","Museum and Art Gallery of the Northern Territory Entomology Collection","","Records provided by Museum and Art Gallery of the Northern Territory Entomology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co41","","","","1"
"dr2288","Australian National Insect Collection Image Library","10.15468/y5eckg","Australian National Insect Collection (ANIC)","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr2288","","","","15"
"co9","Australian Museum Entomology Collection","","Records provided by Australian Museum Entomology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co9","","","","83"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","","","141"
"co258","Queen Victoria Museum and Art Gallery - Invertebrates","","Records provided by Queen Victoria Museum and Art Gallery - Invertebrates, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co258","","","","7"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","19"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","1"
"dr368","NSW BioNet Atlas","10.15468/14jd9g","BioNet Species Sightings occurrence data held by the NSW Office of Environment and Heritage (OEH).   The BioNet repository holds data from a number of sources and custodians. (Accessed through ALA Data Portal,<Date of Access>).","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr368","","","","118"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","513"
"dr345","Queen Victoria Museum Art Gallery provider for OZCAM","10.15468/tedfxn","Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int)) Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/ Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/ 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr345","","","","7"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Records provided by Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Australian Museum, http://australianmuseum.net.au/ Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr340","","","","83"
"dr342","Museums Victoria provider for OZCAM","10.15468/lp1ctu","Museums Victoria, http://museumvictoria.com.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr342","","","","175"
"dr364","ALA species sightings and OzAtlas","10.15468/jayxmn","Individual sighting: Atlas of Living Australia (2023) Individual sighting dataset
Test sighting: Atlas of Living Australia (2023) Test sighting dataset
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr364","","","","15"
"dr348","Western Australian Museum provider for OZCAM","10.15468/5qt0dm","Records provided by Western Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Western Australian Museum, http://www.museum.wa.gov.au/","For more information: https://collections.ala.org.au/public/show/dr348","","","","5"
"co13","Australian National Insect Collection","","Records provided by Australian National Insect Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co13","","","","15"
"dp42","Global Biodiversity Information Facility","","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp42","","","","10"
"dp20","OZCAM (Online Zoological Collections of Australian Museums) Provider","","Records provided by OZCAM (Online Zoological Collections of Australian Museums) Provider, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp20","","","","290"
"dr22500","NMNH Extant Specimen Records (USNM, US)","10.15468/hnhrg3","Orrell T, Informatics and Data Science Center - Digital Stewardship (2024). NMNH Extant Specimen Records (USNM, US). Version 1.89. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/hnhrg3 accessed via GBIF.org on 2024-12-19.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22500","","","","8"
"co50","Queensland Museum Entomology","","Records provided by Queensland Museum Entomology, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co50","","","","19"
"dr360","Encyclopedia of Life Images - Flickr Group","","Citation is at the individual image","Creative Commons - license at record level (Creative Commons - license at record level)","For more information: https://collections.ala.org.au/public/show/dr360","","","","2"
"in4","Australian Museum","","Records provided by Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in4","","","","83"
"in6","Commonwealth Scientific and Industrial Research Organisation","","Records provided by Commonwealth Scientific and Industrial Research Organisation, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in6","","","","15"
"dr893","BowerBird","","Records provided by BowerBird, accessed through ALA website.","Creative Commons - license at record level (Creative Commons - license at record level) The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: https://collections.ala.org.au/public/show/dr893","","","","1"
"dr30009","Field Museum of Natural History (Zoology) Insect, Arachnid and Myriapod Collection","10.15468/0ywfpc","Grant S, Webbink K, Turcatel M, Shuman R (2025). Field Museum of Natural History (Zoology) Insect, Arachnid and Myriapod Collection. Version 12.63. Field Museum. Occurrence dataset https://doi.org/10.15468/0ywfpc accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30009","","","","2"
"in13","Queen Victoria Museum and Art Gallery","","Records provided by Queen Victoria Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in13","","","","7"
"in15","Queensland Museum","","Records provided by Queensland Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in15","","","","19"
"dr1902","Earth Guardians Weekly Feed","10.15468/slqqt8","Records provided by Earth Guardians Weekly Feed, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1902","","","","26"
"in17","Museum and Art Gallery of the Northern Territory","","Records provided by Museum and Art Gallery of the Northern Territory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in17","","","","1"
"in16","Museums Victoria","","Records provided by Museums Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in16","","","","175"
"co39","Museums Victoria Entomology and Arachnology Collection","","Records provided by Museums Victoria Entomology and Arachnology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co39","","","","175"
"dp29","Flickr","","Records provided by Flickr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp29","","","","2"
